ID,Last Date,First Date,Branch ID,ID (Batch Milk Collection Child),Branch Id (Batch Milk Collection Child),Date (Batch Milk Collection Child),Shift (Batch Milk Collection Child),Supplier (Batch Milk Collection Child),Milk Type (Batch Milk Collection Child),Supplier Name (Batch Milk Collection Child),Fat (Batch Milk Collection Child),Litre (Batch Milk Collection Child),Amount (Batch Milk Collection Child),Account(Cr) (Batch Milk Collection Child),Bill Status (Batch Milk Collection Child),Deduction Status (Batch Milk Collection Child),Account(Dr) (Batch Milk Collection Child),Rate (Batch Milk Collection Child),SNF (Batch Milk Collection Child),Contact Number (Batch Milk Collection Child),Rate Group (Batch Milk Collection Child)
[WARANA-0008]-(2025-01-01-to-2025-01-15),15-01-2025,01-01-2025,WARANA-0008,01-01-2025-Morning-100001-Cow,WARANA-0008,01-01-2025,Morning,100001,Cow,Avery Mitchell Bailey,3.1,10,800,Creditors - QT,Not Proceed,Not Deducted,Stock In Hand - QT,80,3.1,8567412358,FEB_WARANA-Cow-2023-03-01
,,,,01-01-2025-Morning-100002-Cow,WARANA-0008,01-01-2025,Morning,100002,Cow,Caleb Ryan Scott,3.1,10,800,Creditors - QT,Not Proceed,Not Deducted,Stock In Hand - QT,80,3.1,8567412359,FEB_WARANA-Cow-2023-03-01
,,,,01-01-2025-Morning-100003-Cow,WARANA-0008,01-01-2025,Morning,100003,Cow,Penelope Grace Foster,3.1,10,800,Creditors - QT,Not Proceed,Not Deducted,Stock In Hand - QT,80,3.1,8567412360,FEB_WARANA-Cow-2023-03-01
,,,,01-01-2025-Morning-100004-Cow,WARANA-0008,01-01-2025,Morning,100004,Cow,Eliza Maeve Walsh,3.1,10,800,Creditors - QT,Not Proceed,Not Deducted,Stock In Hand - QT,80,3.1,8567412361,FEB_WARANA-Cow-2023-03-01
,,,,01-01-2025-Morning-100005-Cow,WARANA-0008,01-01-2025,Morning,100005,Cow,Nathaniel George Kim,3.1,10,800,Creditors - QT,Not Proceed,Not Deducted,Stock In Hand - QT,80,3.1,8567412362,FEB_WARANA-Cow-2023-03-01
,,,,01-01-2025-Morning-100006-Cow,WARANA-0008,01-01-2025,Morning,100006,Cow,Lila Jane Robertson,3.1,10,800,Creditors - QT,Not Proceed,Not Deducted,Stock In Hand - QT,80,3.1,8567412363,FEB_WARANA-Cow-2023-03-01
,,,,01-01-2025-Morning-100007-Cow,WARANA-0008,01-01-2025,Morning,100007,Cow,Ethan Tyler Shaw,3.1,10,800,Creditors - QT,Not Proceed,Not Deducted,Stock In Hand - QT,80,3.1,8567412364,FEB_WARANA-Cow-2023-03-01
,,,,01-01-2025-Morning-100008-Cow,WARANA-0008,01-01-2025,Morning,100008,Cow,Sadie Elizabeth Hayes,3.1,10,800,Creditors - QT,Not Proceed,Not Deducted,Stock In Hand - QT,80,3.1,8567412365,FEB_WARANA-Cow-2023-03-01
,,,,01-01-2025-Morning-100009-Cow,WARANA-0008,01-01-2025,Morning,100009,Cow,Jacob Benjamin Brooks,3.1,10,800,Creditors - QT,Not Proceed,Not Deducted,Stock In Hand - QT,80,3.1,8567412366,FEB_WARANA-Cow-2023-03-01
,,,,01-01-2025-Morning-100010-Cow,WARANA-0008,01-01-2025,Morning,100010,Cow,Olivia Rose Jenkins,3.1,10,800,Creditors - QT,Not Proceed,Not Deducted,Stock In Hand - QT,80,3.1,8567412367,FEB_WARANA-Cow-2023-03-01
