ID,Supplier Name,Milk Type,Mobile No,Branch Id,Supplier Group,Bill Period,Rate Group
110001,Aarav Dev Sharma,Cow,9567412358,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110002,Aarushi Rani Kapoor,Cow,9567412359,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110003,Abhinav Mohan Singh,Cow,9567412360,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110004,Aditi Maya Shah,Cow,9567412361,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110005,Advait Vikram Patel,Cow,9567412362,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110006,Aisha Neha Desai,Cow,9567412363,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110007,Akash Rohan Mehta,Cow,9567412364,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110008,Akshara Rekha Iyer,Cow,9567412365,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110009,Aman Deepak Gupta,Cow,9567412366,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110010,Amarjit Kaur Sodhi,Cow,9567412367,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110011,Ameya Nihal Shah,Cow,9567412368,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110012,Amrita Anjali Singh,Cow,9567412369,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110013,Anand Karthik Iyer,Cow,9567412370,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110014,Anika Shreya Menon,Cow,9567412371,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110015,Anirudh Raghavendra Rao,Cow,9567412372,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110016,Anjali Radha Nair,Cow,9567412373,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110017,Anmol Jitendra Patel,Cow,9567412374,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110018,Anshul Kishore Varma,Cow,9567412375,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110019,Anushka Ritu Singh,Cow,9567412376,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110020,Aradhya Vedika Reddy,Cow,9567412377,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110021,Aravind Pranav Menon,Cow,9567412378,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110022,Archana Nandini Gupta,Cow,9567412379,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110023,Arjun Akshay Kumar,Cow,9567412380,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110024,Arnav Kunal Mehra,Cow,9567412381,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
